draw_date,draw_number,n1,n2,n3,n4,n5,mega
2015-09-09,2967,9,15,18,21,22,26
2015-09-12,2968,4,10,15,33,46,15
2015-09-16,2969,6,8,21,34,35,25
2015-09-19,2970,17,21,27,30,47,24
2015-09-23,2971,17,25,26,30,44,16
2015-09-26,2972,4,15,25,44,45,2
2015-09-30,2973,6,13,15,31,32,26
2015-10-03,2974,2,12,16,17,43,22
2015-10-07,2975,4,11,12,28,41,22
2015-10-10,2976,21,28,33,34,37,17
2015-10-14,2977,11,13,25,30,43,4
2015-10-17,2978,12,14,21,32,36,14
2015-10-21,2979,5,13,16,19,27,9
2015-10-24,2980,1,12,15,28,45,27
2015-10-28,2981,7,9,12,20,34,5
2015-10-31,2982,25,32,35,38,44,3
2015-11-04,2983,4,10,18,29,38,24
2015-11-07,2984,5,10,26,32,42,10
2015-11-11,2985,5,9,22,36,44,12
2015-11-14,2986,2,17,18,35,42,1
2015-11-18,2987,13,21,34,37,41,2
2015-11-21,2988,7,15,19,38,47,25
2015-11-25,2989,12,20,24,25,39,3
2015-11-28,2990,9,16,20,21,31,1
2015-12-02,2991,1,24,32,36,42,14
2015-12-05,2992,9,30,37,44,46,8
2015-12-09,2993,7,11,13,40,47,22
2015-12-12,2994,11,12,22,24,42,27
2015-12-16,2995,1,2,7,13,23,11
2015-12-19,2996,4,17,25,27,31,14
2015-12-23,2997,6,9,11,19,47,5
2015-12-26,2998,3,4,25,37,47,11
2015-12-30,2999,3,4,6,25,26,22
2016-01-02,3000,10,21,29,39,43,24
2016-01-06,3001,2,9,15,35,37,18
2016-01-09,3002,5,12,24,25,36,4
2016-01-13,3003,12,13,35,40,45,24
2016-01-16,3004,10,11,26,28,47,9
2016-01-20,3005,3,14,18,25,38,22
2016-01-23,3006,12,14,22,30,32,12
2016-01-27,3007,12,29,33,36,43,10
2016-01-30,3008,2,31,33,36,38,17
2016-02-03,3009,11,14,21,32,47,11
2016-02-06,3010,4,20,29,37,45,23
2016-02-10,3011,3,8,12,24,30,1
2016-02-13,3012,9,13,25,44,45,5
2016-02-17,3013,21,26,28,38,44,1
2016-02-20,3014,22,24,31,34,36,3
2016-02-24,3015,6,11,16,42,43,10
2016-02-27,3016,2,8,10,28,47,10
2016-03-02,3017,9,10,18,19,42,24
2016-03-05,3018,4,5,8,10,21,6
2016-03-09,3019,2,17,24,31,41,15
2016-03-12,3020,2,16,27,34,36,12
2016-03-16,3021,15,19,22,37,46,10
2016-03-19,3022,2,17,19,24,33,22
2016-03-23,3023,5,23,38,43,47,27
2016-03-26,3024,3,12,13,26,33,18
2016-03-30,3025,22,24,28,33,39,24
2016-04-02,3026,3,5,10,43,47,6
2016-04-06,3027,12,14,22,32,45,18
2016-04-09,3028,16,18,36,40,42,7
2016-04-13,3029,14,22,25,31,46,9
2016-04-16,3030,22,29,32,36,43,17
2016-04-20,3031,2,14,25,27,35,20
2016-04-23,3032,16,26,28,33,39,8
2016-04-27,3033,7,26,31,34,43,8
2016-04-30,3034,13,16,24,29,38,18
2016-05-04,3035,1,8,13,15,39,19
2016-05-07,3036,6,14,18,20,38,10
2016-05-11,3037,8,24,31,32,43,17
2016-05-14,3038,3,4,27,30,40,17
2016-05-18,3039,4,19,37,40,42,13
2016-05-21,3040,8,12,27,34,44,15
2016-05-25,3041,4,6,9,16,47,10
2016-05-28,3042,4,10,11,32,33,23
2016-06-01,3043,2,22,25,34,36,12
2016-06-04,3044,8,11,27,35,45,3
2016-06-08,3045,2,14,19,22,32,10
2016-06-11,3046,2,10,25,31,40,12
2016-06-15,3047,15,21,38,43,46,5
2016-06-18,3048,8,13,17,19,39,5
2016-06-22,3049,6,12,26,28,33,24
2016-06-25,3050,7,23,28,39,45,18
2016-06-29,3051,10,25,28,37,39,21
2016-07-02,3052,12,23,25,39,40,3
2016-07-06,3053,17,21,29,45,46,24
2016-07-09,3054,13,18,25,37,43,16
2016-07-13,3055,8,13,14,24,27,1
2016-07-16,3056,5,24,31,39,43,24
2016-07-20,3057,3,6,15,20,34,15
2016-07-23,3058,7,23,30,36,44,2
2016-07-27,3059,5,7,12,34,42,23
2016-07-30,3060,2,3,27,28,30,17
2016-08-03,3061,12,18,19,29,32,18
2016-08-06,3062,1,29,34,36,46,15
2016-08-10,3063,1,23,40,44,46,15
2016-08-13,3064,6,18,39,44,47,2
2016-08-17,3065,22,31,36,46,47,18
2016-08-20,3066,10,18,27,39,41,4
2016-08-24,3067,2,9,40,44,46,25
2016-08-27,3068,20,25,37,44,45,27
2016-08-31,3069,15,17,30,41,46,12
2016-09-03,3070,1,3,4,9,42,23
2016-09-07,3071,14,20,23,32,39,10
2016-09-10,3072,10,29,30,37,44,5
2016-09-14,3073,8,25,32,35,45,24
2016-09-17,3074,16,20,22,34,41,6
2016-09-21,3075,6,36,38,41,46,17
2016-09-24,3076,8,12,15,30,35,27
2016-09-28,3077,8,18,24,37,43,5
2016-10-01,3078,1,3,20,30,39,3
2016-10-05,3079,9,13,27,33,40,8
2016-10-08,3080,2,17,33,36,43,19
2016-10-12,3081,5,11,22,23,31,26
2016-10-15,3082,4,5,13,24,43,2
2016-10-19,3083,4,9,11,15,21,6
2016-10-22,3084,3,7,12,25,42,27
2016-10-26,3085,8,19,21,26,33,15
2016-10-29,3086,2,4,26,30,37,11
2016-11-02,3087,6,7,11,42,47,2
2016-11-05,3088,1,20,29,31,37,1
2016-11-09,3089,8,26,31,35,47,12
2016-11-12,3090,21,35,37,40,44,24
2016-11-16,3091,14,28,33,37,43,27
2016-11-19,3092,3,11,15,16,32,22
2016-11-23,3093,15,25,27,30,34,1
2016-11-26,3094,1,16,21,22,39,24
2016-11-30,3095,17,21,28,38,47,11
2016-12-03,3096,3,13,20,44,47,16
2016-12-07,3097,2,10,11,15,38,19
2016-12-10,3098,6,13,15,36,45,25
2016-12-14,3099,6,10,16,29,31,17
2016-12-17,3100,10,24,32,34,40,10
2016-12-21,3101,16,21,28,40,41,16
2016-12-24,3102,2,18,31,35,39,2
2016-12-28,3103,10,13,16,34,41,6
2016-12-31,3104,1,3,10,46,47,6
2017-01-04,3105,11,15,20,38,47,16
2017-01-07,3106,6,32,33,34,44,18
2017-01-11,3107,8,15,20,43,44,23
2017-01-14,3108,1,9,10,19,26,21
2017-01-18,3109,17,25,29,31,37,6
2017-01-21,3110,7,14,20,22,46,22
2017-01-25,3111,9,13,27,29,33,10
2017-01-28,3112,11,15,22,33,35,20
2017-02-01,3113,3,8,10,27,31,16
2017-02-04,3114,5,15,18,22,41,20
2017-02-08,3115,4,11,37,40,45,12
2017-02-11,3116,11,24,27,34,40,19
2017-02-15,3117,5,9,16,27,41,5
2017-02-18,3118,9,18,24,27,41,21
2017-02-22,3119,15,28,32,34,47,14
2017-02-25,3120,3,11,24,30,46,15
2017-03-01,3121,8,20,29,33,42,23
2017-03-04,3122,17,34,35,41,46,19
2017-03-08,3123,2,11,25,33,37,3
2017-03-11,3124,16,17,19,38,47,25
2017-03-15,3125,13,31,34,36,44,1
2017-03-18,3126,29,33,38,44,46,5
2017-03-22,3127,8,26,28,33,42,23
2017-03-25,3128,10,13,17,18,20,11
2017-03-29,3129,7,10,11,21,35,13
2017-04-01,3130,8,10,35,39,47,23
2017-04-05,3131,20,33,35,40,41,11
2017-04-08,3132,6,12,22,27,36,19
2017-04-12,3133,9,14,17,23,29,5
2017-04-15,3134,3,10,16,18,19,2
2017-04-19,3135,2,28,33,34,38,4
2017-04-22,3136,6,13,16,39,44,13
2017-04-26,3137,6,19,28,42,45,7
2017-04-29,3138,4,14,31,42,43,2
2017-05-03,3139,9,22,23,32,37,6
2017-05-06,3140,16,24,31,40,44,7
2017-05-10,3141,7,16,17,36,38,22
2017-05-13,3142,13,16,18,27,32,20
2017-05-17,3143,8,20,24,27,34,13
2017-05-20,3144,6,10,31,45,47,8
2017-05-24,3145,1,14,16,31,44,22
2017-05-27,3146,7,8,15,34,45,3
2017-05-31,3147,7,8,20,23,36,6
2017-06-03,3148,9,25,30,33,41,1
2017-06-07,3149,28,34,36,46,47,12
2017-06-10,3150,3,4,5,16,20,2
2017-06-14,3151,1,16,26,34,35,25
2017-06-17,3152,5,24,25,40,47,7
2017-06-21,3153,5,20,25,32,46,19
2017-06-24,3154,1,12,25,35,38,12
2017-06-28,3155,12,21,22,38,44,22
